NPA,Violent_Crime_Rate_2015,Violent_Crimes_2015,Property_Crime_Rate_2015,Property_Crimes_2015,Disorder_Call_Rate_2015,Disorder_Calls_2015,Animal_Control_Call_Rate_2015,Animal_Control_Calls_2015,Fire_Call_Rate_2015,Fire_Calls_2015,Nuisance_Violations_2015,Nuisance_Violations_Total_2015,311_Requests_2015,311_Calls_2015,Voter_Participation_2015,Voters_Participating_2015,Neighborhood_Organizations_2015,Population_Density_2015,Population _2015,Age_of_Residents_2015,Age_of_Residents_moe_2015,Youth_Population_2015,Youth_Population_moe_2015,Older_Adult_Population_2015,Older_Adult_Population_moe_2015,Vacant_Land_2015,Vacant_Land_Area_2015,Household_Income_2015,Household_Income_moe_2015,Public_Nutrition_Assistance_2015,Employment_Rate_2015,Employment_Rate_moe_2015,Job_Density_2015,Jobs_2015,Commercial_Construction_2015,Commercial_Construction_Permitted_Units_2015,Commercial_Size_2015,Commercial_Size_Total_2015,Commercial_Building_Age_2015,Fincancial_Services_Proximity_2015,Financial_Services_Proximate_Units_2015,Bachelors_Degree_2015,Bachelors_Degree_moe_2015,High_School_Diploma_2015,High_School_Diploma_moe_2015,Early_Care_Proximity_2015,Early_Care_Proximate_Units_2015,SchoolAge_Proximity_2015,SchoolAge_Proximate_Units_2015,Library_Card_Prevalence_2015,Library_Card_Holders_2015,Proficiency_Elementary_School_2015,Proficiency_Middle_School_2015,Proficiency_High_School_2015,Highschool_Graduation_Rate_2015,Student_Absenteeism_2015,Neighborhood_School_Attendance_2015,Grocery_Proximity_2015,Grocery_Proximate_Units_2015,Pharmacy_Proximity_2015,Pharmacy_Proximate_Units_2015,Park_Proximity_2015,Park_Proximate_Units_2015,Public_Health_Insurance _2015,Impervious_Surface_2015,Impervious_Surface_Area_2015,Adopt_a_Stream_2015,Adopt_a_Stream_Length_2015,Commuters_Driving_Alone_2015,Commuters_Driving_Alone_moe_2015,Housing_Density_2015,Housing_Units_2015,Single_Family_Housing_2015,Single_Family_Units_2015,Housing_Size_2015,Housing_Age_2015,Rental_Houses_2015,Rental_Houses_Units_2015,New_Residential_2015,New_Residential_Permit_Units_2015,Residential_Renovation_2015,Residential_Renovation_Permit_Units_2015,Foreclosures_2015,Foreclosed_Units_2015,Home_Sales_Price_2015,Housing_Violations_2015,Housing_Violations_Total_2015,Home_Ownership_2015,Home_Ownership_moe_2015,Bicycle_Friendliness_2015,Street_Connectivity_2015,Transit_Proximity_2015,Transit_Proximate_Units_2015,Transit_Ridership_2015,Transit_Ridership_Total_2015
366,,13.0,,89.0,,451.0,,129.0,,67.0,18.3,84.0,45.7,364.0,18.0,67.0,1.0,2.0,796.0,34.0,,18.0,5.0,6.0,4.0,3.6,13.0,40694.0,,23.0,95.0,5.0,,2360.0,4.02,14.0,18163.0,,49.0,65.0,298.0,36.0,10.0,92.0,7.0,10.0,48.0,68.0,311.0,18.0,141.0,52.6,33.3,,88.0,18.0,63.0,7.0,31.0,100.0,459.0,69.0,319.0,22.0,38.2,133.0,89.83,2.03,90.0,12.0,1.3,459.0,52.0,238.0,1219.0,62.0,41.0,98.0,0.0,0.0,0.86,3.0,1.3,3.0,139500.0,1.31,6.0,35.0,9.0,1.4,1.27,100.0,459.0,69.0,826.0
367,2.5,12.0,50.6,,141.0,686.0,24.6,149.0,63.1,,5.5,149.0,23.7,1154.0,25.0,,4.0,7.0,,31.0,,15.0,3.0,5.0,2.0,2.6,19.0,68863.0,,3.0,95.0,2.0,,,,,26645.0,,58.0,77.0,,64.0,2.0,98.0,2.0,98.0,,73.0,,18.0,866.0,80.0,78.5,66.7,100.0,7.0,70.0,41.0,,87.0,,100.0,,4.0,35.6,,100.0,2.05,87.0,6.0,3.7,,34.0,919.0,1826.0,79.0,23.0,209.0,,,7.79,,0.2,3.0,382511.0,0.11,3.0,34.0,4.0,1.8,1.42,100.0,,75.0,
368,,,,,,,,,10.9,33.0,,,36.9,1121.0,16.0,234.0,,3.0,3038.0,37.0,,19.0,5.0,10.0,2.0,4.6,51.0,56273.0,,15.0,84.0,5.0,5.1,,2.07,23.0,47837.0,,21.0,50.0,593.0,39.0,7.0,95.0,8.0,73.0,862.0,73.0,862.0,15.0,468.0,51.6,40.9,53.9,89.0,13.0,84.0,83.0,977.0,77.0,915.0,62.0,732.0,19.0,26.8,,54.86,3.76,83.0,5.0,1.1,1184.0,79.0,932.0,1547.0,36.0,19.0,181.0,0.0,0.0,1.62,18.0,1.0,12.0,139353.0,,,67.0,8.0,1.5,1.24,100.0,1184.0,100.0,
369,,25.0,,127.0,,476.0,86.5,125.0,,69.0,,219.0,57.1,583.0,10.0,63.0,1.0,3.0,1022.0,29.0,,34.0,4.0,7.0,2.0,8.6,28.0,25798.0,,,76.0,10.0,3.7,1217.0,2.13,7.0,15679.0,1379731.0,50.0,12.0,56.0,13.0,5.0,72.0,6.0,100.0,469.0,100.0,469.0,28.0,291.0,17.2,12.7,19.1,,,74.0,33.0,155.0,0.0,0.0,89.0,418.0,55.0,26.4,87.0,100.0,0.55,63.0,9.0,1.4,469.0,86.0,401.0,974.0,65.0,,237.0,0.0,0.0,2.43,8.0,3.1,12.0,50750.0,,22.0,43.0,9.0,1.6,1.29,100.0,469.0,34.0,1186.0
370,,,77.7,,,,62.6,150.0,37.9,122.0,23.3,,38.4,1236.0,9.0,131.0,3.0,7.0,3218.0,23.0,,41.0,6.0,5.0,2.0,9.9,46.0,17171.0,,,,7.0,5.8,2716.0,3.61,17.0,21874.0,1203081.0,30.0,68.0,831.0,8.0,4.0,67.0,8.0,3.0,38.0,6.0,71.0,20.0,650.0,19.5,13.3,23.7,78.0,19.0,78.0,59.0,713.0,100.0,,100.0,1216.0,63.0,29.9,141.0,100.0,3.19,58.0,10.0,2.6,1217.0,43.0,525.0,928.0,51.0,,303.0,0.21,1.0,1.91,9.0,1.1,4.0,74000.0,,,17.0,4.0,1.6,1.21,100.0,1217.0,56.0,
371,14.4,,82.5,,,,75.1,,47.0,,32.7,,49.2,,21.0,,,4.0,,37.0,,25.0,3.0,14.0,2.0,7.7,108.0,27973.0,,42.0,84.0,4.0,2.0,2787.0,1.15,16.0,17091.0,,38.0,12.0,265.0,10.0,3.0,76.0,5.0,100.0,,100.0,,24.0,,32.0,19.3,36.9,81.0,15.0,74.0,5.0,120.0,12.0,261.0,90.0,,42.0,24.6,,0.28,0.01,76.0,6.0,1.6,,83.0,,1323.0,50.0,38.0,,0.07,1.0,2.94,,1.4,,69184.0,2.97,,44.0,4.0,1.6,1.3,100.0,,86.0,
372,0.4,5.0,5.9,70.0,26.7,314.0,12.7,199.0,18.9,,2.1,94.0,21.0,,17.0,,,6.0,,36.0,,32.0,3.0,9.0,,5.5,108.0,88763.0,,4.0,94.0,3.0,0.7,1275.0,0.1,2.0,10409.0,145732.0,17.0,15.0,673.0,50.0,4.0,98.0,5.0,52.0,,49.0,,17.0,,62.6,64.1,58.6,97.0,5.0,90.0,22.0,948.0,20.0,867.0,20.0,867.0,6.0,16.1,,0.0,0.0,94.0,3.0,2.2,,83.0,,2344.0,16.0,12.0,,1.17,23.0,2.39,,0.8,,199019.0,0.11,5.0,79.0,3.0,1.5,1.11,7.0,326.0,,
373,0.0,0.0,15.1,38.0,28.7,72.0,29.4,94.0,36.2,91.0,4.8,53.0,36.0,904.0,,,,3.0,2513.0,47.0,,21.0,6.0,,5.0,2.3,19.0,86191.0,,2.0,91.0,4.0,1.0,865.0,0.47,4.0,19105.0,114629.0,38.0,31.0,343.0,72.0,13.0,99.0,11.0,75.0,836.0,84.0,934.0,20.0,510.0,85.7,78.6,,100.0,4.0,66.0,29.0,318.0,28.0,306.0,67.0,741.0,3.0,20.5,175.0,0.0,0.0,93.0,10.0,1.3,1108.0,86.0,954.0,2696.0,47.0,12.0,111.0,1.4,12.0,6.44,,0.1,1.0,347975.0,0.54,6.0,76.0,10.0,1.6,1.23,70.0,778.0,12.0,105.0
374,,,68.0,169.0,,,79.0,,,,29.4,,65.0,,18.0,277.0,4.0,6.0,2487.0,41.0,,22.0,5.0,15.0,4.0,14.0,58.0,23523.0,,54.0,85.0,5.0,0.6,259.0,1.68,7.0,3812.0,133423.0,47.0,62.0,710.0,14.0,6.0,85.0,3.0,96.0,1089.0,96.0,1089.0,28.0,699.0,11.6,15.5,12.5,,18.0,70.0,49.0,562.0,51.0,575.0,100.0,1138.0,47.0,15.6,65.0,0.0,0.0,63.0,10.0,2.7,1138.0,86.0,973.0,1070.0,55.0,54.0,,0.24,1.0,5.04,21.0,1.4,12.0,59906.0,,,47.0,10.0,1.6,1.27,100.0,1138.0,43.0,1334.0
375,0.0,0.0,5.0,12.0,38.7,93.0,22.4,55.0,22.9,55.0,2.0,17.0,31.2,750.0,36.0,,3.0,2.0,2401.0,43.0,,30.0,6.0,18.0,5.0,1.9,19.0,,,0.0,100.0,0.0,0.4,380.0,0.5,5.0,15047.0,105330.0,17.0,4.0,36.0,81.0,6.0,99.0,4.0,35.0,301.0,35.0,301.0,18.0,441.0,93.2,97.8,,91.0,2.0,91.0,32.0,280.0,37.0,322.0,8.0,73.0,1.0,14.7,146.0,99.62,2.16,95.0,5.0,0.9,865.0,100.0,864.0,3914.0,32.0,4.0,32.0,0.3,3.0,6.16,,0.1,1.0,,0.0,0.0,97.0,5.0,1.8,1.14,76.0,657.0,3.0,12.0
376,1.5,6.0,18.3,73.0,71.1,284.0,38.9,193.0,27.5,110.0,6.5,95.0,30.4,1213.0,16.0,333.0,,3.0,3995.0,36.0,,26.0,4.0,12.0,3.0,16.6,191.0,68818.0,,12.0,92.0,3.0,0.2,215.0,0.09,1.0,13110.0,117986.0,38.0,3.0,38.0,31.0,6.0,90.0,9.0,68.0,997.0,78.0,1132.0,20.0,806.0,46.4,37.5,50.0,89.0,13.0,64.0,21.0,302.0,21.0,299.0,27.0,394.0,16.0,9.4,108.0,20.25,1.23,90.0,4.0,1.3,1456.0,100.0,1456.0,1762.0,23.0,20.0,285.0,0.0,0.0,0.69,8.0,2.1,,132942.0,0.21,3.0,79.0,8.0,1.4,1.06,75.0,1086.0,14.0,130.0
377,1.1,6.0,10.6,59.0,35.2,197.0,25.0,135.0,13.1,73.0,3.3,67.0,23.4,1310.0,17.0,527.0,4.0,5.0,,32.0,,27.0,5.0,6.0,2.0,9.7,105.0,86731.0,,11.0,93.0,5.0,0.1,152.0,0.19,2.0,13527.0,40580.0,15.0,0.0,0.0,56.0,8.0,100.0,3.0,32.0,646.0,32.0,646.0,18.0,,49.0,46.3,54.0,98.0,8.0,53.0,0.0,3.0,3.0,62.0,0.0,0.0,16.0,11.6,125.0,0.14,0.01,94.0,4.0,1.9,,80.0,,2531.0,13.0,15.0,241.0,4.07,,0.74,8.0,2.1,,159415.0,0.2,4.0,87.0,1.0,1.4,1.12,0.0,0.0,,
378,0.7,3.0,24.4,106.0,160.7,699.0,44.8,,32.9,,8.3,179.0,35.3,1534.0,,,4.0,5.0,4350.0,34.0,,19.0,4.0,6.0,2.0,3.6,33.0,104966.0,,4.0,96.0,2.0,1.9,1692.0,1.42,13.0,9967.0,767487.0,58.0,34.0,728.0,70.0,5.0,95.0,5.0,96.0,,95.0,,21.0,,70.7,84.2,70.6,100.0,5.0,,40.0,863.0,73.0,,98.0,,4.0,19.0,174.0,100.0,2.45,81.0,5.0,2.4,,89.0,,1697.0,63.0,19.0,,,,,,0.1,2.0,342449.0,0.65,14.0,73.0,5.0,1.9,1.34,100.0,,51.0,1130.0
379,0.2,1.0,5.0,21.0,28.1,118.0,12.1,52.0,11.7,49.0,1.0,13.0,20.4,856.0,27.0,,3.0,4.0,4202.0,43.0,,32.0,5.0,10.0,3.0,2.7,29.0,,,0.0,95.0,2.0,0.6,604.0,0.09,1.0,28397.0,141983.0,19.0,18.0,240.0,76.0,7.0,99.0,7.0,47.0,625.0,23.0,301.0,15.0,650.0,87.2,90.1,96.7,100.0,3.0,97.0,10.0,132.0,37.0,487.0,9.0,122.0,1.0,16.6,178.0,0.0,0.0,88.0,6.0,1.2,1321.0,99.0,1302.0,3744.0,19.0,5.0,59.0,2.51,,5.58,,0.2,3.0,504607.0,0.23,3.0,97.0,2.0,1.3,1.08,0.0,0.0,,
380,0.0,0.0,6.1,35.0,15.2,87.0,17.7,116.0,15.0,86.0,2.8,52.0,32.2,,29.0,,3.0,3.0,,41.0,,31.0,3.0,10.0,2.0,2.8,53.0,138727.0,,1.0,91.0,6.0,0.6,1101.0,0.16,3.0,1645.0,4934.0,22.0,4.0,68.0,74.0,6.0,97.0,6.0,30.0,543.0,30.0,551.0,21.0,,92.0,89.8,93.2,98.0,4.0,92.0,7.0,135.0,6.0,117.0,3.0,58.0,2.0,11.6,218.0,30.05,2.0,93.0,1.0,1.0,1832.0,100.0,,3545.0,24.0,7.0,121.0,0.37,7.0,3.67,,0.4,8.0,435281.0,0.16,3.0,97.0,2.0,1.4,1.08,1.0,23.0,,
381,3.2,10.0,49.8,154.0,164.3,508.0,34.1,113.0,20.7,64.0,4.1,72.0,27.5,849.0,17.0,348.0,2.0,6.0,3092.0,32.0,,15.0,4.0,9.0,2.0,1.6,8.0,53000.0,,11.0,94.0,4.0,1.1,544.0,,,14745.0,545568.0,53.0,55.0,954.0,61.0,6.0,98.0,6.0,71.0,1237.0,71.0,1237.0,18.0,542.0,47.7,28.2,50.0,71.0,18.0,68.0,41.0,709.0,15.0,269.0,96.0,,11.0,25.8,127.0,0.0,0.0,85.0,5.0,3.5,1745.0,44.0,773.0,1371.0,65.0,30.0,228.0,2.03,10.0,7.31,36.0,0.1,1.0,283935.0,0.11,2.0,40.0,5.0,1.7,1.29,99.0,1730.0,,
382,8.9,27.0,40.3,123.0,227.2,693.0,72.2,199.0,36.4,111.0,,,44.1,1346.0,9.0,187.0,,7.0,3050.0,23.0,,15.0,4.0,9.0,3.0,11.3,49.0,22565.0,,30.0,,6.0,2.0,850.0,1.38,6.0,14627.0,541204.0,55.0,88.0,821.0,8.0,4.0,67.0,9.0,100.0,931.0,100.0,931.0,15.0,462.0,15.8,20.4,23.8,69.0,18.0,72.0,0.0,0.0,0.0,0.0,100.0,931.0,26.0,20.3,88.0,16.4,0.39,56.0,10.0,2.1,931.0,82.0,768.0,1056.0,62.0,53.0,,2.3,10.0,5.29,23.0,1.4,9.0,140811.0,,,36.0,7.0,1.8,1.38,100.0,931.0,68.0,
383,4.9,20.0,36.7,150.0,164.7,674.0,44.3,184.0,30.3,124.0,33.5,,32.1,1313.0,19.0,344.0,1.0,7.0,4093.0,30.0,,32.0,4.0,7.0,2.0,2.8,17.0,46666.0,,20.0,91.0,3.0,1.2,745.0,1.46,9.0,12661.0,721655.0,37.0,52.0,830.0,31.0,5.0,85.0,6.0,89.0,1413.0,90.0,1431.0,12.0,482.0,33.9,42.6,43.2,91.0,14.0,84.0,31.0,495.0,78.0,,99.0,,24.0,28.2,174.0,100.0,1.44,67.0,5.0,2.6,1591.0,68.0,1089.0,1473.0,51.0,21.0,226.0,0.0,0.0,4.37,27.0,1.1,11.0,158604.0,1.45,23.0,58.0,4.0,1.7,1.29,95.0,1510.0,23.0,343.0
384,8.5,31.0,63.1,,347.2,,20.0,49.0,62.8,,3.9,70.0,8.7,317.0,12.0,191.0,3.0,,3661.0,28.0,,7.0,4.0,6.0,3.0,3.1,11.0,98677.0,,3.0,93.0,7.0,,,,,,,61.0,93.0,,73.0,13.0,94.0,13.0,100.0,,100.0,,9.0,331.0,,60.0,40.0,,13.0,48.0,67.0,,70.0,,100.0,,3.0,39.1,136.0,98.76,1.15,,14.0,,1813.0,5.0,98.0,1471.0,,39.0,38.0,,,0.58,2.0,0.5,4.0,273918.0,0.06,1.0,38.0,11.0,1.8,1.44,100.0,1813.0,,
385,,,47.6,,284.8,,81.8,,35.5,,18.1,,51.1,,11.0,298.0,,6.0,4811.0,31.0,,26.0,4.0,11.0,2.0,8.6,68.0,27958.0,,59.0,80.0,4.0,0.6,461.0,3.79,,14941.0,821752.0,54.0,0.0,0.0,11.0,5.0,78.0,7.0,100.0,,93.0,,18.0,883.0,22.1,20.6,34.6,63.0,20.0,69.0,1.0,27.0,26.0,519.0,81.0,,51.0,18.7,148.0,0.0,0.0,75.0,9.0,2.5,,69.0,1375.0,1087.0,60.0,,,0.0,0.0,3.15,25.0,0.8,12.0,55808.0,,,35.0,7.0,1.4,1.2,100.0,,46.0,
386,8.2,16.0,53.7,105.0,215.9,422.0,57.2,115.0,37.3,73.0,,,52.3,1023.0,16.0,198.0,2.0,7.0,1955.0,36.0,,14.0,4.0,11.0,3.0,8.2,23.0,33018.0,,28.0,80.0,7.0,0.9,252.0,1.8,5.0,11067.0,232401.0,60.0,12.0,101.0,23.0,8.0,81.0,9.0,100.0,845.0,100.0,845.0,18.0,353.0,41.9,21.6,23.1,89.0,18.0,73.0,24.0,206.0,31.0,262.0,100.0,845.0,24.0,16.9,47.0,100.0,0.41,69.0,11.0,3.0,845.0,82.0,695.0,1089.0,66.0,44.0,306.0,,19.0,,,0.6,4.0,166525.0,,,33.0,6.0,,1.45,100.0,845.0,69.0,414.0
387,,,,,,,,,,,32.4,,61.0,1420.0,11.0,191.0,3.0,1.0,2327.0,35.0,,22.0,5.0,11.0,3.0,17.5,,33728.0,,59.0,,7.0,3.3,,2.01,,21926.0,,40.0,48.0,455.0,8.0,4.0,63.0,7.0,98.0,923.0,84.0,795.0,21.0,491.0,16.2,18.7,23.4,84.0,15.0,77.0,45.0,427.0,45.0,425.0,98.0,922.0,53.0,29.2,,0.0,0.0,88.0,8.0,0.5,945.0,87.0,819.0,1126.0,50.0,44.0,,0.22,4.0,0.84,15.0,1.9,15.0,52700.0,2.01,19.0,51.0,8.0,1.5,1.33,100.0,945.0,47.0,
388,10.7,22.0,58.5,120.0,323.4,664.0,48.2,139.0,44.3,91.0,19.7,192.0,41.1,844.0,13.0,160.0,2.0,5.0,2053.0,33.0,,20.0,5.0,9.0,3.0,7.0,28.0,41532.0,,20.0,88.0,3.0,4.3,1724.0,2.52,10.0,14575.0,1165998.0,55.0,39.0,383.0,33.0,7.0,78.0,3.0,37.0,356.0,2.0,17.0,16.0,329.0,25.7,33.3,11.1,71.0,15.0,69.0,20.0,195.0,47.0,462.0,96.0,937.0,15.0,23.1,92.0,0.0,0.0,75.0,8.0,2.5,975.0,69.0,670.0,1226.0,71.0,39.0,264.0,1.26,5.0,,,0.8,5.0,217730.0,2.56,25.0,40.0,8.0,1.9,,100.0,975.0,,
389,4.9,,24.8,,114.1,,39.1,,25.3,,22.6,,27.0,,19.0,,1.0,9.0,,35.0,,24.0,3.0,14.0,2.0,1.1,13.0,33935.0,,24.0,89.0,3.0,1.0,1096.0,1.55,17.0,9176.0,302805.0,42.0,50.0,,18.0,3.0,71.0,5.0,94.0,,85.0,,13.0,,37.4,32.9,32.5,83.0,13.0,74.0,13.0,460.0,18.0,627.0,84.0,,28.0,21.1,,1.64,0.01,68.0,7.0,3.2,,55.0,,1444.0,49.0,29.0,,0.0,0.0,3.18,35.0,1.4,,109921.0,0.84,,40.0,4.0,1.9,1.26,100.0,,90.0,
390,0.7,1.0,57.9,85.0,234.3,344.0,31.8,83.0,36.8,54.0,15.6,122.0,32.8,481.0,17.0,109.0,0.0,6.0,1468.0,38.0,6.0,9.0,7.0,8.0,3.0,6.1,16.0,39981.0,4314.0,22.0,96.0,1.0,2.2,583.0,1.5,4.0,9833.0,668630.0,54.0,1.0,10.0,38.0,10.0,89.0,13.0,85.0,663.0,85.0,663.0,19.0,275.0,50.0,47.6,37.5,91.0,11.0,47.0,0.0,0.0,93.0,729.0,37.0,286.0,22.0,27.4,73.0,,,77.0,7.0,2.9,781.0,42.0,328.0,1177.0,54.0,34.0,112.0,1.12,3.0,3.37,9.0,0.6,3.0,147480.0,1.15,9.0,37.0,9.0,1.7,1.2,100.0,781.0,60.0,663.0
391,0.4,1.0,6.8,16.0,29.4,69.0,20.9,45.0,16.2,38.0,4.7,46.0,39.8,935.0,33.0,,2.0,4.0,2348.0,38.0,,20.0,6.0,15.0,5.0,1.7,10.0,110690.0,,3.0,93.0,11.0,0.9,497.0,0.18,1.0,22293.0,66880.0,42.0,0.0,0.0,71.0,13.0,98.0,11.0,51.0,499.0,74.0,718.0,22.0,512.0,79.5,70.4,50.0,100.0,4.0,58.0,0.0,0.0,0.0,0.0,71.0,688.0,5.0,16.7,94.0,,,91.0,12.0,1.7,971.0,99.0,959.0,2311.0,41.0,9.0,82.0,0.0,0.0,7.12,,0.3,3.0,239035.0,0.31,3.0,94.0,5.0,1.8,1.21,21.0,205.0,,
392,0.6,6.0,10.4,107.0,32.9,337.0,14.0,188.0,33.4,,2.4,98.0,21.1,,,,4.0,7.0,,37.0,,24.0,3.0,15.0,2.0,1.4,20.0,133541.0,,1.0,96.0,2.0,3.0,,2.59,,27679.0,1577679.0,52.0,44.0,,83.0,5.0,98.0,5.0,39.0,1586.0,74.0,,17.0,,88.6,87.3,90.5,98.0,3.0,83.0,53.0,,28.0,,87.0,,2.0,27.1,,82.96,,86.0,4.0,2.8,,65.0,,2957.0,60.0,11.0,286.0,2.66,,,,0.2,7.0,,0.12,5.0,82.0,4.0,2.0,1.44,100.0,,18.0,916.0
393,0.5,3.0,48.7,,176.1,,36.6,203.0,32.1,,33.9,,37.7,,23.0,,3.0,6.0,,33.0,,12.0,3.0,12.0,3.0,0.6,6.0,78990.0,,7.0,94.0,4.0,,,,,18406.0,,38.0,76.0,,53.0,7.0,93.0,8.0,68.0,,69.0,,15.0,873.0,53.6,32.9,54.6,86.0,11.0,54.0,54.0,,34.0,960.0,62.0,,9.0,29.0,,86.56,,92.0,6.0,2.8,,66.0,,1573.0,57.0,21.0,,,,,,0.2,5.0,227173.0,0.5,14.0,67.0,5.0,1.9,1.35,88.0,,22.0,660.0
394,1.4,4.0,20.8,61.0,85.9,252.0,31.3,98.0,23.5,69.0,5.5,80.0,32.3,948.0,23.0,307.0,2.0,7.0,2935.0,36.0,,18.0,4.0,17.0,4.0,7.5,30.0,35061.0,,13.0,87.0,2.0,5.1,1997.0,0.51,2.0,18723.0,243403.0,39.0,27.0,383.0,35.0,7.0,95.0,9.0,55.0,791.0,88.0,1269.0,17.0,500.0,48.6,41.8,40.0,89.0,11.0,86.0,26.0,371.0,12.0,179.0,48.0,692.0,19.0,23.4,92.0,100.0,0.14,76.0,4.0,3.7,1445.0,36.0,516.0,1707.0,49.0,24.0,123.0,0.76,3.0,6.37,25.0,0.4,3.0,249407.0,0.35,5.0,32.0,6.0,1.6,1.17,98.0,1410.0,5.0,22.0
395,3.2,5.0,60.8,96.0,108.2,171.0,30.5,61.0,25.3,40.0,4.5,30.0,1.9,30.0,15.0,150.0,,3.0,1580.0,49.0,8.0,17.0,4.0,,4.0,9.1,57.0,67206.0,10644.0,5.0,96.0,2.0,2.6,1607.0,3.49,22.0,22769.0,979075.0,15.0,23.0,154.0,43.0,6.0,90.0,1.0,12.0,82.0,12.0,82.0,21.0,331.0,58.3,61.0,81.8,100.0,13.0,88.0,22.0,148.0,89.0,593.0,45.0,298.0,9.0,23.2,146.0,0.0,0.0,91.0,9.0,1.1,664.0,67.0,442.0,2149.0,30.0,7.0,33.0,,,2.22,14.0,0.9,6.0,196873.0,,,93.0,3.0,1.5,1.13,0.0,2.0,,
396,0.7,2.0,12.1,33.0,,,,,11.3,31.0,0.2,2.0,1.0,28.0,5.0,76.0,,1.0,2737.0,46.0,2.0,21.0,3.0,16.0,4.0,33.8,,70114.0,11653.0,9.0,95.0,3.0,0.0,96.0,0.0,0.0,3594.0,14375.0,23.0,0.0,0.0,24.0,4.0,93.0,7.0,16.0,158.0,16.0,158.0,17.0,475.0,54.4,61.8,37.5,88.0,11.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.4,108.0,0.0,0.0,93.0,6.0,0.2,998.0,100.0,998.0,1916.0,29.0,16.0,162.0,0.71,,0.36,16.0,1.1,11.0,166700.0,,,88.0,5.0,1.1,1.09,0.0,0.0,,
397,0.0,0.0,4.3,8.0,15.2,28.0,,,10.8,20.0,,,0.2,3.0,4.0,33.0,,,1846.0,38.0,7.0,6.0,5.0,7.0,4.0,4.9,7.0,62556.0,22429.0,3.0,100.0,0.0,,1350.0,,8.0,20825.0,416494.0,13.0,100.0,,45.0,12.0,95.0,15.0,100.0,1086.0,100.0,1086.0,15.0,279.0,45.5,66.7,,,15.0,98.0,42.0,453.0,90.0,979.0,94.0,1024.0,5.0,40.5,61.0,,,97.0,6.0,,1086.0,4.0,39.0,1904.0,14.0,38.0,15.0,0.66,1.0,0.66,1.0,0.6,1.0,177661.0,,,6.0,4.0,1.4,1.25,100.0,1086.0,6.0,13.0
398,0.0,0.0,6.2,4.0,29.6,19.0,6.0,24.0,28.0,18.0,0.0,0.0,0.5,3.0,9.0,40.0,,2.0,643.0,54.0,,,2.0,,,17.8,50.0,41771.0,23503.0,2.0,75.0,6.0,1.8,494.0,0.72,2.0,20749.0,103744.0,27.0,2.0,9.0,29.0,16.0,91.0,,2.0,9.0,2.0,9.0,17.0,112.0,85.7,70.0,,100.0,14.0,94.0,0.0,0.0,0.0,0.0,100.0,397.0,5.0,11.5,32.0,100.0,0.73,89.0,20.0,1.4,397.0,29.0,117.0,2305.0,8.0,20.0,23.0,3.58,10.0,1.43,4.0,0.0,0.0,231628.0,,,84.0,,1.4,1.23,94.0,375.0,2.0,3.0
399,1.5,3.0,5.4,11.0,31.0,63.0,,,23.1,47.0,,,0.6,12.0,9.0,103.0,,3.0,2031.0,35.0,3.0,28.0,8.0,4.0,3.0,23.2,151.0,66146.0,,2.0,97.0,3.0,4.0,2595.0,2.76,18.0,35328.0,953843.0,15.0,84.0,866.0,52.0,9.0,99.0,10.0,81.0,835.0,81.0,835.0,19.0,376.0,72.3,71.7,54.6,100.0,6.0,92.0,54.0,558.0,51.0,533.0,100.0,1036.0,5.0,16.7,109.0,55.06,1.99,79.0,10.0,1.6,1036.0,44.0,455.0,2090.0,15.0,18.0,84.0,4.15,,1.54,10.0,0.9,4.0,292203.0,,,42.0,8.0,1.4,1.33,99.0,1027.0,151.0,905.0
400,1.6,4.0,4.8,12.0,21.4,54.0,19.8,65.0,7.9,20.0,1.3,11.0,2.8,70.0,16.0,262.0,,4.0,2528.0,42.0,4.0,27.0,5.0,13.0,4.0,7.1,47.0,104779.0,24379.0,1.0,89.0,3.0,0.3,193.0,0.3,2.0,2164.0,4328.0,32.0,26.0,229.0,68.0,8.0,98.0,9.0,81.0,715.0,81.0,715.0,26.0,663.0,91.3,82.3,85.4,100.0,3.0,94.0,0.0,0.0,0.0,0.0,53.0,468.0,2.0,13.1,87.0,0.0,0.0,89.0,6.0,1.3,881.0,100.0,881.0,2831.0,25.0,4.0,39.0,0.6,4.0,3.62,24.0,0.1,1.0,316408.0,,,99.0,2.0,1.1,1.0,33.0,289.0,1.0,3.0
401,5.0,11.0,27.9,61.0,64.0,140.0,20.1,51.0,21.0,46.0,5.0,41.0,0.7,16.0,11.0,141.0,,2.0,2189.0,41.0,6.0,22.0,6.0,11.0,3.0,6.1,55.0,64524.0,14712.0,5.0,96.0,3.0,0.6,546.0,0.0,0.0,12523.0,175324.0,26.0,12.0,100.0,34.0,6.0,92.0,8.0,15.0,120.0,15.0,120.0,22.0,486.0,77.0,67.9,81.8,82.0,8.0,95.0,7.0,60.0,28.0,233.0,36.0,294.0,10.0,12.0,108.0,,,93.0,8.0,0.9,823.0,88.0,723.0,1962.0,30.0,10.0,72.0,0.0,0.0,1.44,13.0,0.6,4.0,177603.0,,,83.0,6.0,1.2,1.11,0.0,0.0,,
